employeeTestVariantId;employeeTestBlockId;title;position
2;11;Существует ли порядок восстановления в СибГУ им. М.Ф. Решетнева;8
2;11;Все ли сотрудники дирекции и студенты (бывшие студенты) знают и соблюдают требования порядка восстановления в СибГУ им. М. Ф. Решетнева;9
2;11;Существует ли порядок отчисления из СибГУ им. М.Ф. Решетнева;10
2;11;Все ли сотрудники дирекции и студенты знают и соблюдают требования порядка отчисления из СибГУ им. М. Ф. Решетнева;11
2;11;Существуют ли формы для подготовки документов при переводе/восстановлении/отчислении ;12
2;12;Существуют ли порядок и условия перехода студентов с платного обучения на бесплатное;13
2;12;Все ли сотрудники дирекции и студенты знают и соблюдают условия перехода студентов с платного обучения на бесплатное;14
2;12;Существуют ли формы заявлений для перехода студентов с платного обучения на бесплатное;15
2;13;Существует ли порядок подготовки индивидуальных графиков и обучения по индивидуальным графикам;16
2;13;Все ли сотрудники дирекции знают и соблюдают порядок подготовки индивидуальных графиков и обучения по индивидуальным графикам;17
2;13;Все ли студенты знают о порядке перевода на обучение по индивидуальным графикам;18
2;13;Существуют ли формы заявлений для перевода студентов на обучение по индивидуальным графикам;19
2;14;Существует ли порядок разработки индивидуальных планов ускоренных образовательных программ для лиц, имещих среднее профессиональное образование (СПО);20
2;14;Все ли сотрудники дирекции, заведующие кафедрами знают и соблюдают порядок разработки индивидуальных планов ускоренных образовательных программ для лиц, имещих СПО;21
2;14;Существует ли порядок разработки индивидуальных планов ускоренных образовательных программ для лиц, имещих высшее образование;22
2;14;Все ли сотрудники дирекции, заведующие кафедрами знают и соблюдают порядок разработки индивидуальных планов ускоренных образовательных программ для лиц, имещих высшее образование;23
2;14;Существует ли порядок организации ускоренного обучения для лиц, имеющих способности и (или) уровень развития, позволяющие освоить образовательную программу в более короткий срок;24
2;14;Все ли сотрудники дирекции, заведующие кафедрами знают и соблюдают порядок организации ускоренного обучения для лиц, имеющих способности и (или) уровень развития, позволяющие освоить образовательную программу в более короткий срок;25
2;14;Существуют ли формы заявлений для перевода студентов на ускоренное обучение ;26
2;15;Подготовка аналитических данных по движению контингента происходит;27
2;15;Подготовка аналитических данных по движению контингента формируется;28
2;15;Сведения об образовательной организации, осуществляющей образовательную деятельность по образовательным программам высшего образования (формы федерального статистического наблюдения № ВПО-1) формируются для предоставления в Министерство образования и науки РФ;29
2;15;Подготовка аналитических данных по движению контингента студентов целевого обучения, с республики Тыва происходит;30
2;16;Рассмотрение заявлений на восстановление, перевод по очной форме обучения происходит;31
2;16;Рассмотрение заявлений на отчисление происходит;32
2;16;Рассмотрение заявлений на предоставление/продление/выход из академичсекого отпуска происходит;33
2;17;Письма об отчислении из университета сотрудник дирекции отправляет;34
2;17;Списки отчисленных студентов обновляются на стендах;35
2;17;Оповещение студентов об отчислении посредством телефонных звонков происходит;36
2;18;Проведение собраний с кураторами студенческих групп по вопросам успеваемости и сохранности контингента студентов происходит;37
2;18;Обсуждение результатов успеваемости и сохранности контингента с заведующими выпускающих кафедрами происходит;38
2;18;Обсуждение результатов аттестаций с преподавателями, имеющих большое количество задолженностей происходит    (Рекомендации преподавателям по пересмотру рабочих программ дисциплин для дальнейшего сохранения контингента);39
2;18;Контроль сотрудниками дирекции проведения консультаций преподавателей для улучшения численности студентов, закрывших академические задолженности;40
3;19;"Ознакомление со статьей 101 ""Осуществление образовательной деятельности за счет средств физических лиц и юридических лиц"" федерального закона №273-ФЗ от 29.12.2012 (ред. От 24.03.2021):";1
3;19;"Ознакомление с Постановлением правительства РФ от 15.09.2020 №1441 ""Об утверждении Правил оказания платных образовательных услуг""";2
3;19;Ознакомление с Уставом университета;3
3;20;Ознакомление с правилами оказания платных образовательных услугах на сайте Университета;4
3;20;Информация об оказании платных образовательных услугах;5
3;20;Существует ли порядок заключения договоров;6
3;20;Ответственность исполнителя и заказчика ПОУ;7
3;20;Оплата обучения;8
3;20;Порядок на изменения и расторжение договора на оказание ПОУ;9
3;21;Существуют ли основания предоставления снижения стоимости обучения (ССО);10
3;21;Существует ли порядок предоставления ССО;11
3;21;Порядок продления (пролонгации) ССО;12
3;22;Порядок и случаи перехода студентов с платного обучения на бесплатное;13
3;22;Сотрудники, заказчики и обучающиеся ознакомлены с преимущественным правом на переход с платного обучения на бесплатное;14
3;23;Существует ли процедура формирования платы за обучения;15
3;23;Существует ли приказ о стоимости обучения;16
3;24;Отчетность по оплате за обучения администрацией института;17
3;24;Отчетность по оплате за обучения заказчиком;18
3;24;Предоставление сведений о оплате заказчиком за обучения бухгалтерией;19
3;25;Существует ли процедура заключения договора об оказании ПОУ;20
3;25;Все ли сотрудники и заказчики знакомы с процедурой и соблюдают требования заключения договора об оказании ПОУ;21
3;25;Существуют ли форма договора об оказании ПОУ;22
3;26;Существуют ли форма дополнительного соглашения к  договору об оказании ПОУ;23
3;26;Заключение дополнительного соглашения на смену стоимости за обучения осуществлятся;24
3;26;Заключение дополнительного соглашения на смену заказчика может осуществлятся;25
3;26;Заключение дополнительного соглашения на смену направления и формы обучения может осуществлятся;26
3;27;Форма предоставления документа о оплате заказчиком;27
3;27;Контроль за оплатой обучения администрацией университета института;28
4;28;Существует ли порядок назначения и выплаты государственной академической стипендии (ГАС) и ее размеры;1
4;28;Все ли студенты знакомы с порядком назначения и выплаты ГАС и ее размерами;2
4;29;Существует ли порядок работы стипендиальных комиссий, согласования документов об оказании материальной поддержки;3
4;29;Все ли студенты знакомы с категориями обучающихся, претендующих на получение материальной поддержки, с перечнем документов и размерами материальной поддержки;4
4;30;Существует ли приказ, определяющий сроки выплаты государственных стипендий, материальной помощи и других форм социальной поддержки обучающихся;5
4;30;Все ли студенты знакомы с приказом, определяющим сроки выплаты государственных стипендий, материальной помощи и других форм социальной поддержки обучающихся;6
4;31;Существует ли порядок подачи и рассмотрения заявлений на получение ПГАС;7
4;31;Все ли студенты знакомы и соблюдают порядок подачи и рассмотрения заявлений на получение ПГАС;8
4;31;Определён ли пакет документов для участия в конкурсе на получение ПГАС;9
4;32;Существует ли приказ об утверждении состава центральной стипендиальной комиссии;10
4;32;Все ли студенты знакомы с составом центральной стипендиальной комиссии;11
4;33;Подача документов на материальную помощь происходит;12
4;33;Проверка документов на материальную помощь на соответствие происходит;13
4;33;Подача документов на социальную стипендию происходит;14
4;33;Проверка документов на социальную стипендию на соответствие происходит;15
4;33;Подача документов на повышенную государственную академическую стипендию происходит;16
4;33;Проверка документов на повышенную государственную академическую стипендию на соответствие происходит;17
4;34;Приказ на социальную стипендию студентам готовится;18
4;34;Приказ на социальную стипендию формируется;19
4;34;Приказ на материальную помощь студентам готовится;20
4;34;Приказ на материальную помощь формируется;21
4;34;Приказ на повышенную государственную академическую стипендию студентам готовится;22
4;35;Комиссия для рассмотрении заявлений студентов, претендующих на материальной поддержку, собирается;23
4;35;Комиссия при рассмотрении заявлений студентов, претендующих на повышенную государственную академическую стипендию собирается;24
4;36;Оповещение студентов о сроках выплаты стипендий происходит;25
4;36;Оповещение студентов, которым необходимо получить стипендию в кассе, происходит;26
